iter	Passed	Remaining
554	12575	10083
555	12597	10060
556	12621	10037
557	12644	10015
558	12665	9991
559	12688	9969
560	12710	9946
561	12732	9923
562	12756	9901
563	12779	9878
564	12801	9856
565	12823	9833
566	12846	9810
567	12869	9788
568	12891	9765
569	12913	9741
570	12936	9719
571	12959	9697
572	12982	9674
573	13005	9651
574	13025	9627
575	13047	9604
576	13068	9580
577	13091	9557
578	13114	9535
579	13137	9513
580	13159	9490
581	13183	9468
582	13205	9445
583	13226	9421
584	13247	9397
585	13269	9374
586	13292	9352
587	13315	9330
588	13337	9306
589	13360	9284
590	13384	9262
591	13407	9240
592	13430	9218
593	13452	9195
594	13476	9172
595	13498	9150
596	13521	9127
597	13544	9105
598	13568	9083
599	13589	9059
600	13612	9037
601	13636	9015
602	13658	8992
603	13681	8969
604	13704	8947
605	13726	8924
606	13747	8900
607	13770	8878
608	13792	8855
609	13815	8833
610	13839	8810
611	13861	8787
612	13884	8765
613	13906	8742
614	13927	8719
615	13948	8695
616	13971	8672
617	13993	8649
618	14015	8626
619	14037	8603
620	14061	8581
621	14083	8558
622	14106	8536
623	14127	8512
624	14149	8489
625	14170	8466
626	14192	8442
627	14215	8420
628	14238	8398
629	14260	8375
630	14282	8352
631	14304	8329
632	14327	8306
633	14349	8283
634	14372	8261
635	14394	8238
636	14415	8214
637	14438	8192
638	14461	8170
639	14485	8148
640	14508	8125
641	14530	8102
642	14553	8080
643	14575	8057
644	14597	8034
645	14620	8011
646	14642	7988
647	14664	7966
648	14687	7943
649	14710	7921
650	14732	7898
651	14753	7874
652	14774	7851
653	14797	7828
654	14819	7805
655	14840	7782
656	14862	7759
657	14884	7736
658	14907	7713
659	14930	7691
660	14952	7668
661	14975	7646
662	14998	7623
663	15019	7600
664	15042	7577
665	15065	7555
666	15087	7532
667	15110	7510
668	15134	7488
669	15157	7465
670	15180	7443
671	15201	7419
672	15223	7397
673	15246	7374
674	15267	7351
675	15290	7328
676	15313	7306
677	15336	7283
678	15359	7261
679	15382	7238
680	15404	7216
681	15427	7193
682	15450	7171
683	15473	7148
684	15496	7126
685	15517	7102
686	15540	7080
687	15562	7057
688	15586	7035
689	15608	7012
690	15630	6989
691	15651	6966
692	15674	6943
693	15697	6921
694	15719	6898
695	15742	6875
696	15765	6853
697	15787	6830
698	15809	6807
699	15831	6784
700	15853	6762
701	15875	6739
702	15898	6716
703	15920	6693
704	15941	6670
705	15962	6647
706	15984	6624
707	16006	6601
708	16029	6579
709	16050	6555
710	16073	6533
711	16095	6510
712	16117	6487
713	16138	6464
714	16160	6441
715	16184	6419
716	16207	6396
717	16230	6374
718	16252	6351
719	16275	6329
720	16298	6306
721	16320	6284
722	16343	6261
723	16366	6239
724	16389	6216
725	16410	6193
726	16433	6170
727	16455	6148
728	16477	6125
729	16500	6102
730	16522	6080
731	16545	6057
732	16568	6035
733	16589	6012
734	16612	5989
735	16634	5966
736	16656	5944
737	16678	5921
738	16701	5898
739	16721	5875
740	16743	5852
741	16765	5829
742	16788	5807
743	16812	5784
744	16834	5762
745	16857	5739
746	16880	5717
747	16902	5694
748	16925	5671
749	16948	5649
750	16970	5626
751	16993	5604
752	17016	5581
753	17038	5559
754	17061	5536
755	17084	5514
756	17107	5491
757	17128	5468
758	17150	5445
759	17172	5423
760	17195	5400
761	17218	5377
762	17241	5355
763	17262	5332
764	17284	5309
765	17307	5287
766	17329	5264
767	17352	5241
768	17373	5218
769	17396	5196
770	17419	5173
771	17441	5151
772	17464	5128
773	17487	5106
774	17509	5083
775	17532	5061
776	17554	5038
777	17576	5015
778	17598	4992
779	17621	4970
780	17644	4947
781	17666	4924
782	17689	4902
783	17712	4879
784	17735	4857
785	17758	4835
786	17781	4812
787	17803	4789
788	17825	4767
789	17848	4744
790	17870	4721
791	17893	4699
792	17917	4676
793	17940	4654
794	17964	4632
795	17988	4610
796	18011	4587
797	18031	4564
798	18055	4542
799	18075	4518
800	18097	4496
801	18120	4473
802	18143	4451
803	18164	4428
804	18187	4405
805	18210	4383
806	18233	4360
807	18256	4338
808	18278	4315
809	18301	4292
810	18321	4269
811	18343	4247
812	18366	4224
813	18389	4202
814	18411	4179
815	18434	4156
816	18457	4134
817	18478	4111
818	18501	4088
819	18523	4066
820	18545	4043
821	18567	4020
822	18590	3998
823	18613	3975
824	18636	3953
825	18661	3931
826	18683	3908
827	18705	3885
828	18728	3863
829	18751	3840
830	18773	3817
831	18796	3795
832	18819	3772
833	18841	3750
834	18864	3727
835	18886	3705
836	18908	3682
837	18931	3659
838	18953	3637
839	18975	3614
840	18997	3591
841	19019	3569
842	19042	3546
843	19065	3523
844	19087	3501
845	19110	3478
846	19132	3456
847	19155	3433
848	19176	3410
849	19199	3388
850	19222	3365
851	19245	3343
852	19267	3320
853	19290	3297
854	19313	3275
855	19336	3252
856	19358	3230
857	19379	3207
858	19401	3184
859	19423	3161
860	19446	3139
861	19468	3116
862	19490	3094
863	19511	3071
864	19534	3048
865	19557	3026
866	19579	3003
867	19601	2980
868	19623	2958
869	19646	2935
870	19667	2912
871	19690	2890
872	19713	2867
873	19735	2845
874	19757	2822
875	19780	2799
876	19800	2777
877	19822	2754
878	19843	2731
879	19864	2708
880	19887	2686
881	19910	2663
882	19932	2641
883	19954	2618
884	19976	2595
885	19999	2573
886	20021	2550
887	20043	2528
888	20066	2505
889	20088	2482
890	20111	2460
891	20134	2437
892	20157	2415
893	20180	2392
894	20202	2370
895	20224	2347
896	20246	2324
897	20269	2302
898	20291	2279
899	20314	2257
900	20337	2234
901	20360	2212
902	20383	2189
903	20406	2167
904	20426	2144
905	20448	2121
906	20471	2099
907	20493	2076
908	20514	2053
909	20537	2031
910	20560	2008
911	20583	1986
912	20606	1963
913	20629	1941
914	20651	1918
915	20674	1895
916	20697	1873
917	20720	1850
918	20742	1828
919	20765	1805
920	20788	1783
921	20811	1760
922	20833	1738
923	20854	1715
924	20877	1692
925	20899	1670
926	20922	1647
927	20944	1625
928	20967	1602
929	20989	1579
930	21013	1557
931	21035	1534
932	21058	1512
933	21081	1489
934	21104	1467
935	21125	1444
936	21147	1421
937	21169	1399
938	21192	1376
939	21216	1354
940	21239	1331
941	21261	1309
942	21285	1286
943	21308	1264
944	21331	1241
945	21353	1218
946	21376	1196
947	21398	1173
948	21421	1151
949	21443	1128
950	21467	1106
951	21490	1083
952	21513	1060
953	21536	1038
954	21559	1015
955	21582	993
956	21605	970
957	21628	948
958	21651	925
959	21674	903
960	21695	880
961	21718	857
962	21741	835
963	21762	812
964	21785	790
965	21807	767
966	21830	744
967	21853	722
968	21876	699
969	21898	677
970	21921	654
971	21945	632
972	21967	609
973	21990	587
974	22011	564
975	22034	541
976	22056	519
977	22079	496
978	22102	474
979	22124	451
980	22146	428
981	22169	406
982	22192	383
983	22215	361
984	22237	338
985	22260	316
986	22283	293
987	22306	270
988	22329	248
989	22351	225
990	22372	203
991	22392	180
992	22415	158
993	22436	135
994	22457	112
995	22479	90
996	22502	67
997	22525	45
998	22548	22
999	22570	0
